PLZ;ORTSCHAFTS;STRASSENNA;HAUSNUMMER;GEOMX;GEOMY
8142;Uitikon Waldegg;Urdorferstrasse;14;8.448195211;47.37270519
8142;Uitikon Waldegg;Schlierenstrasse;31;8.448413905;47.37355045
8142;Uitikon Waldegg;Schlierenstrasse;38;8.448001689;47.3741792
8142;Uitikon Waldegg;Lättenstrasse;89;8.448530733;47.37446112
8952;Schlieren;Uitikonerstrasse;31a;8.448911145;47.39481251
8952;Schlieren;Schulstrasse;1;8.448744716;47.39647787
8952;Schlieren;Engstringerstrasse;6;8.448612124;47.40148594
8952;Schlieren;Engstringerstrasse;8;8.448655522;47.40165771
8952;Schlieren;Ackerweg;6;8.449049234;47.40468094
8952;Schlieren;Limmatstrasse;6;8.448881533;47.40576984
8952;Schlieren;Limmataustrasse;4;8.44905133;47.4062745
8142;Uitikon Waldegg;Gläserenstrasse;4;8.449520381;47.37256368
8142;Uitikon Waldegg;Gläserenstrasse;2.1;8.449731492;47.37253125
8142;Uitikon Waldegg;Schlierenstrasse;32.1;8.448631321;47.37365485
8142;Uitikon Waldegg;Schlierenstrasse;18;8.449370464;47.37335138
8142;Uitikon Waldegg;Lättenstrasse;96;8.449466758;47.37480748
8142;Uitikon Waldegg;Lättenstrasse;75;8.449555881;47.3740649
8952;Schlieren;Dammweg;3;8.449194958;47.39430556
8952;Schlieren;Zwiegartenstrasse;8;8.449600349;47.39540136
8952;Schlieren;Schulstrasse;3;8.44919959;47.39652858
8952;Schlieren;Lilienweg;3;8.449875302;47.39716184
8952;Schlieren;Zürcherstrasse;6;8.449002926;47.39746976
8952;Schlieren;Zürcherstrasse;9;8.449694674;47.39799951
8952;Schlieren;Lilienweg;2;8.450063123;47.39733563
8952;Schlieren;Grabenstrasse;10;8.449216615;47.39870025
8952;Schlieren;Rütistrasse;12.1;8.450091317;47.40080211
8952;Schlieren;Rotbuchenweg;16;8.449345557;47.40250579
8952;Schlieren;Lachernweg;23;8.449198689;47.40504159
8952;Schlieren;Lachernweg;32.1;8.449997293;47.40565676
8952;Schlieren;Limmataustrasse;6;8.449535042;47.40646502
8952;Schlieren;Limmatstrasse;11;8.449620489;47.40616482
8103;Unterengstringen;Hönggerstrasse;2.1;8.449833283;47.41050273
8103;Unterengstringen;Obere Hönggerstrasse;8;8.450453693;47.41186884
8103;Unterengstringen;Weiningerstrasse;42;8.449356459;47.4124399
8103;Unterengstringen;Zürcherstrasse;42a;8.449939507;47.41342964
8103;Unterengstringen;Zürcherstrasse;42;8.449715308;47.41369915
8103;Unterengstringen;Zürcherstrasse;42.2;8.45017183;47.41376533
8142;Uitikon Waldegg;Zürcherstrasse;78;8.450559082;47.3704012
8142;Uitikon Waldegg;Urdorferstrasse;5;8.450981054;47.37082408
8142;Uitikon Waldegg;Schlierenstrasse;23;8.449846414;47.37281614
8142;Uitikon Waldegg;Lättenstrasse;63;8.450524589;47.37365245
8142;Uitikon Waldegg;Obere Stockrütistrasse;26;8.450446086;47.3755524
8952;Schlieren;Alter Zürichweg;10;8.450251417;47.39393672
8952;Schlieren;Alter Zürichweg;14a;8.451207994;47.39418396
8952;Schlieren;Alter Zürichweg;18;8.45126239;47.3946304
8952;Schlieren;Rainweg;2;8.450618948;47.39532375
8952;Schlieren;Zwiegartenstrasse;20.1;8.450716099;47.39573166
8952;Schlieren;Grabenstrasse;18;8.450547384;47.3970904
8952;Schlieren;Schulstrasse;16;8.451416571;47.39651928
8952;Schlieren;Römergasse;2;8.450744275;47.3976112
8952;Schlieren;Zürcherstrasse;13;8.450533103;47.3981897
8952;Schlieren;Leuengasse;4;8.450708983;47.39844178
8952;Schlieren;Zürcherstrasse;31;8.451362308;47.3983766
8952;Schlieren;Zürcherstrasse;35;8.45148768;47.39854786
8952;Schlieren;Grabenstrasse;3;8.451189839;47.39912048
8103;Unterengstringen;Hönggerstrasse;10;8.451143099;47.41059581
8103;Unterengstringen;Talacherstrasse;12.1;8.451289958;47.41370118
8142;Uitikon Waldegg;Schlierenstrasse;1;8.451710031;47.37122794
8142;Uitikon Waldegg;Zürcherstrasse;75;8.452235493;47.3708219
8142;Uitikon Waldegg;Haldenstrasse;67;8.4515144;47.37391591
8952;Schlieren;Gyrhalde;2;8.452603031;47.39422662
8952;Schlieren;Alter Zürichweg;21;8.451950728;47.39517661
8952;Schlieren;Rainweg;9;8.451600035;47.39580386
8952;Schlieren;Römergasse;11;8.452052159;47.39795917
8952;Schlieren;Bäckerstrasse;4;8.452054817;47.39748392
8952;Schlieren;Rütistrasse;26;8.452206939;47.40050086
8952;Schlieren;Rütistrasse;13;8.452275474;47.40108033
8952;Schlieren;Betschenrohr;1.1;8.451794122;47.4058894
8103;Unterengstringen;Hönggerstrasse;19.1;8.452590357;47.41096468
8103;Unterengstringen;Dahlienstrasse;4.1;8.451846812;47.41108412
8103;Unterengstringen;Langacherstrasse;10;8.452579174;47.4126208
8103;Unterengstringen;Talacherstrasse;20.2;8.452946122;47.41332841
8103;Unterengstringen;Talacherstrasse;20.3;8.452984914;47.41332174
8103;Unterengstringen;Bergstrasse;12.1;8.45267446;47.41361535
8142;Uitikon Waldegg;Langackerstrasse;61;8.452783395;47.36958787
8142;Uitikon Waldegg;Altenweg;3;8.452832795;47.37034997
8142;Uitikon Waldegg;Zürcherstrasse;71;8.452753219;47.3708205
8142;Uitikon Waldegg;Zürcherstrasse;62.1;8.452821684;47.37113842
8142;Uitikon Waldegg;Zürcherstrasse;67;8.453270126;47.37071349
8142;Uitikon Waldegg;Haldenstrasse;57;8.452970916;47.37362104
8142;Uitikon Waldegg;Haldenstrasse;58;8.453467883;47.37376311
8142;Uitikon Waldegg;Eduard Gut-Strasse;7;8.453513415;47.37415231
8952;Schlieren;Fluegartenstrasse;2;8.453186533;47.39464222
8952;Schlieren;Fluegartenstrasse;2c;8.453279718;47.39451948
8952;Schlieren;Alter Zürichweg;25;8.45319364;47.39514212
8952;Schlieren;Alter Zürichweg;33;8.453646803;47.39510959
8952;Schlieren;Schulstrasse;22;8.45322586;47.39705758
8952;Schlieren;Schulstrasse;30;8.454059029;47.39706914
8952;Schlieren;Schulstrasse;25b;8.452954289;47.39774708
8952;Schlieren;Schulstrasse;25a;8.453227219;47.39752618
8952;Schlieren;Schulstrasse;25;8.453234087;47.39734633
8952;Schlieren;Rütistrasse;21;8.453494839;47.40105713
8103;Unterengstringen;Max Gubler Strasse;25.1;8.45333005;47.41022299
8103;Unterengstringen;Hönggerstrasse;23;8.453597869;47.4109636
8103;Unterengstringen;Zürcherstrasse;31a;8.453479911;47.41187128
8103;Unterengstringen;Im Haggenacher;22;8.453510977;47.41127969
8103;Unterengstringen;Im Haggenacher;16;8.453521956;47.41137259
8103;Unterengstringen;Im Haggenacher;12;8.45358777;47.41108451
8103;Unterengstringen;Zürcherstrasse;29;8.453619542;47.41188269
8103;Unterengstringen;Langacherstrasse;3.1;8.453149887;47.41292206
8103;Unterengstringen;Langacherstrasse;7;8.453673386;47.41291215
8103;Unterengstringen;Bergstrasse;20;8.453163827;47.41398233
8103;Unterengstringen;Talacherring;6.1;8.454049708;47.41376096
8103;Unterengstringen;Talacherring;4;8.454089958;47.41364584
8142;Uitikon Waldegg;Zürcherstrasse;61;8.453688314;47.37034802
8142;Uitikon Waldegg;Allmendstrasse;3.2;8.453889681;47.37123259
8142;Uitikon Waldegg;Lättenstrasse;40;8.454133774;47.37265394
8142;Uitikon Waldegg;Chapfstrasse;25;8.453630746;47.37321682
8142;Uitikon Waldegg;Chapfstrasse;29;8.454779547;47.37361809
8142;Uitikon Waldegg;Eduard Gut-Strasse;6;8.453911977;47.37431591
8142;Uitikon Waldegg;Eduard Gut-Strasse;4;8.453998692;47.3743087
8952;Schlieren;Alter Zürichweg;39;8.45457938;47.3948715
